"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u228",6,NA,6,NA,NA,NA,5,NA,NA,6,5,NA,4,NA,6,3,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,5,5,4,6,5,NA,NA,5,NA,5,NA,5,5,7,5,NA,NA,NA,6,NA,6,6,NA,NA,5,NA,4,NA,NA,5,6,6,5,NA,5,6,NA,NA,7,7,4,7,7,NA,NA,4,4,NA,5,4,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,NA,6,NA,NA,6,NA,5,7
"u229",NA,5,NA,4,5,6,5,NA,NA,NA,5,4,6,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,7,5,6,NA,NA,5,5,NA,6,6,NA,5,6,NA,NA,NA,7,NA,5,NA,6,6,NA,5,NA,NA,NA,5,4,NA,NA,NA,4,NA,NA,4,NA,5,NA,3,NA,6,6,NA,6,NA,4,6,NA,NA,5,6,6,NA,NA,NA,NA,NA,5,4,4,NA,NA,5,6,NA,NA,NA,NA,5,NA,5,6,7
"u230",6,NA,NA,6,6,NA,NA,7,NA,NA,5,6,NA,NA,5,NA,5,5,7,NA,6,7,4,6,NA,NA,NA,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,6,NA,3,NA,7,NA,NA,NA,6,NA,NA,5,7,4,NA,NA,NA,NA,5,5,NA,5,6,4,NA,NA,NA,NA,NA,NA,8,5,NA,5,5,4,NA,NA,NA,NA,NA,7,6,NA,6,NA,5,4,4,6,6,NA,6,6,NA,NA,3,5,7,7,NA,NA
"u231",NA,NA,NA,5,NA,5,NA,5,NA,7,NA,NA,NA,7,4,4,5,NA,5,4,6,6,4,NA,NA,4,7,4,4,NA,5,4,5,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,5,NA,6,6,5,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,5,5,7,NA,5,NA,4,5,NA,NA,NA,5,4,6,NA,NA,NA,5,NA,NA,5,NA,NA,3,NA,5,6,NA,NA,NA,4,NA,4,NA,4,6,6,6,NA,NA
"u232",7,NA,NA,5,NA,NA,6,NA,6,NA,NA,NA,4,NA,5,NA,NA,NA,7,NA,NA,5,NA,5,5,5,NA,NA,5,NA,5,5,4,5,5,NA,NA,3,NA,5,3,NA,NA,NA,4,6,5,NA,7,6,6,5,NA,5,NA,NA,NA,4,NA,4,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,6,NA,6,NA,NA,NA,4,NA,4,NA,6,NA,5,5,5,NA,NA,5,NA,NA,7,NA,NA
"u233",NA,5,NA,NA,6,NA,6,7,7,6,NA,NA,NA,NA,4,3,NA,NA,6,6,7,7,3,5,5,4,9,5,7,4,4,NA,6,4,NA,NA,5,NA,NA,4,3,NA,7,5,NA,7,NA,NA,NA,6,6,5,NA,NA,NA,5,6,NA,5,NA,7,NA,NA,5,6,NA,4,NA,7,3,NA,NA,4,6,NA,3,4,5,5,6,NA,NA,7,NA,5,5,NA,NA,5,NA,NA,NA,6,6,5,5,NA,NA,NA,NA
"u234",4,NA,6,NA,4,NA,5,4,NA,NA,5,NA,5,NA,5,6,NA,5,7,8,5,6,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,NA,NA,5,4,4,4,NA,4,NA,NA,5,NA,NA,5,NA,6,6,6,3,4,NA,5,4,NA,7,4,5,6,NA,6,3,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,5,7,4,6,NA,8
"u235",NA,4,NA,6,5,5,NA,NA,6,6,NA,NA,NA,6,4,NA,NA,NA,NA,6,6,NA,4,4,6,4,NA,4,5,5,4,NA,NA,5,6,3,NA,5,NA,3,3,NA,7,5,NA,NA,NA,NA,NA,NA,5,NA,3,5,NA,5,NA,NA,NA,NA,7,4,7,4,5,5,NA,NA,NA,6,NA,NA,5,NA,NA,5,5,7,5,NA,NA,5,NA,5,5,NA,5,3,NA,NA,4,NA,NA,6,5,5,NA,NA,NA,7
"u236",NA,5,6,NA,4,4,5,NA,NA,NA,NA,4,NA,6,6,4,NA,NA,NA,5,5,NA,NA,5,6,4,9,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5,7,NA,5,NA,7,NA,5,8,NA,NA,NA,6,7,6,6,NA,7,NA,NA,NA,5,6,6,NA,NA,7,NA,4,NA,NA,NA,4,NA,NA,4,NA,5,5,6,NA,5,NA,5,NA,6,3,6,4,NA,NA,NA,NA,NA,NA,7,6,NA,6,NA,7,NA,NA
"u237",5,NA,7,5,6,NA,7,6,NA,NA,6,NA,NA,NA,NA,NA,4,6,6,NA,NA,7,3,NA,4,NA,9,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA,7,NA,NA,NA,6,2,NA,NA,NA,NA,NA,5,6,5,5,NA,4,NA,NA,NA,NA,NA,NA,NA,7,NA,6,5,NA,NA,NA,NA,NA,6,NA,6,NA,NA,4,NA,4,NA,5,5,6,5,NA,NA,NA,7,NA,6,5,NA,6,NA,5,NA,NA,7,6,NA
"u238",NA,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,6,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,6,NA,NA,5,3,NA,NA,NA,6,NA,NA,NA,NA,NA,5,NA,NA,NA,8,NA,6,NA,3,7,NA,NA,4,4,NA,NA,4,5,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,6,6,5,4,6,NA,5,NA,NA,7,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,6,6,NA,NA,5,8
"u239",8,NA,NA,NA,NA,NA,7,NA,NA,NA,4,4,6,5,NA,NA,5,5,7,NA,NA,NA,4,NA,5,NA,6,4,NA,NA,5,NA,6,NA,NA,5,NA,NA,6,5,NA,5,6,3,NA,7,NA,NA,NA,NA,NA,4,5,NA,5,4,7,4,NA,6,NA,3,NA,NA,4,6,NA,NA,NA,5,NA,4,4,NA,NA,NA,6,NA,5,NA,4,7,6,4,3,5,NA,NA,5,5,NA,4,6,5,6,NA,NA,7,5,NA
"u240",NA,5,NA,6,NA,5,NA,NA,6,7,NA,6,NA,6,NA,NA,6,NA,6,NA,6,7,NA,4,NA,4,9,5,NA,5,4,NA,NA,4,NA,4,4,6,6,5,3,6,6,NA,NA,NA,NA,NA,5,5,NA,4,5,NA,NA,NA,4,NA,5,NA,6,NA,NA,NA,NA,4,NA,6,8,NA,4,NA,NA,5,6,NA,NA,NA,4,NA,6,5,8,NA,NA,5,NA,4,5,4,NA,NA,7,NA,NA,5,NA,NA,NA,8
"u241",NA,NA,7,NA,NA,NA,6,NA,NA,NA,4,4,4,NA,NA,4,NA,NA,NA,NA,5,NA,NA,5,NA,5,NA,6,NA,NA,NA,3,6,NA,5,NA,6,6,NA,5,NA,5,6,NA,5,6,5,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,5,NA,6,NA,NA,5,6,6,6,6,6,3,NA,5,5,NA,NA,3,NA,5,5,NA,6,NA,7,NA,4,NA,5,5,NA,6,NA,NA,6,NA,NA,4,5,NA,NA,7
"u242",NA,6,6,NA,NA,6,NA,5,NA,7,5,NA,NA,NA,6,3,4,NA,NA,6,5,NA,4,4,NA,NA,8,NA,5,NA,5,5,5,NA,NA,NA,NA,4,NA,NA,4,NA,7,5,NA,7,6,5,7,NA,7,5,NA,NA,NA,5,7,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,8,4,NA,NA,5,5,5,NA,5,4,NA,6,4,5,NA,NA,NA,NA,5,NA,NA,5,NA,NA,6,5,5,NA,NA,NA,NA,NA
"u243",6,NA,NA,NA,NA,NA,NA,5,4,6,5,5,NA,5,4,NA,NA,NA,6,NA,NA,NA,NA,5,4,NA,8,5,NA,5,5,4,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,4,4,6,7,NA,NA,5,7,4,NA,NA,5,NA,NA,NA,5,NA,8,NA,NA,NA,6,NA,NA,6,5,NA,NA,6,NA,5,NA,NA,3,NA,5,4,6,NA,6,5,6,NA,6,4,NA,6,6,4,6,NA,5,NA,NA,8,NA,NA
"u244",6,5,NA,NA,NA,NA,NA,5,NA,6,NA,5,3,NA,4,NA,NA,5,6,5,5,NA,3,5,6,5,NA,NA,6,6,NA,4,NA,5,5,NA,NA,NA,NA,5,NA,5,NA,NA,5,7,5,NA,5,NA,8,NA,NA,6,NA,6,5,5,NA,5,NA,5,5,NA,NA,3,NA,7,NA,NA,NA,6,NA,NA,5,NA,5,6,NA,5,NA,NA,6,3,6,4,NA,NA,6,NA,NA,NA,NA,6,NA,7,5,NA,NA,7
"u245",4,5,7,6,7,NA,NA,6,NA,NA,6,5,6,NA,5,4,NA,NA,7,NA,NA,NA,4,4,5,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,4,4,5,NA,5,5,NA,5,6,NA,5,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,5,NA,5,5,NA,4,4,4,NA,NA,3,8,5,NA,NA,NA,NA,4,NA,6,6,NA,6,NA,4,6,NA,NA,NA,NA,7,5,5,NA,6,6,NA,5,NA,NA,7
"u246",6,6,NA,4,NA,NA,NA,NA,6,NA,NA,NA,6,NA,5,4,NA,5,7,7,NA,NA,NA,NA,6,NA,NA,5,5,6,NA,NA,NA,NA,5,NA,6,5,NA,NA,NA,NA,NA,5,NA,NA,5,8,5,5,NA,NA,5,NA,6,NA,NA,NA,5,4,5,NA,8,NA,5,NA,NA,NA,NA,4,5,5,NA,5,6,NA,6,NA,5,6,5,6,NA,NA,NA,NA,NA,NA,5,NA,NA,6,7,NA,5,6,NA,NA,6,NA
"u247",6,4,6,NA,5,6,7,NA,5,NA,5,5,NA,NA,6,NA,NA,6,7,NA,NA,5,4,4,NA,NA,NA,6,NA,4,5,NA,NA,5,4,5,5,NA,7,NA,3,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,6,6,NA,5,7,NA,4,6,NA,3,NA,NA,NA,4,NA,4,NA,NA,NA,NA,3,NA,NA,3,4,NA,6,NA,5,NA,NA,NA,5,6,NA,4,3,NA,5,4,NA,6,NA,7,NA,NA,4,7
"u248",NA,NA,6,5,NA,4,5,5,NA,NA,NA,NA,5,6,5,NA,4,NA,7,6,NA,7,4,5,5,NA,NA,NA,NA,3,NA,5,5,5,5,5,NA,NA,5,NA,3,5,5,NA,6,NA,NA,5,6,NA,8,NA,NA,NA,4,NA,6,4,5,NA,NA,NA,6,NA,7,4,NA,NA,NA,NA,8,6,6,5,5,NA,6,6,NA,NA,NA,NA,7,NA,6,NA,5,NA,NA,6,NA,NA,6,5,NA,5,6,NA,5,5
"u249",NA,NA,NA,NA,5,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,6,NA,NA,NA,9,NA,NA,NA,6,5,5,6,5,NA,NA,NA,7,NA,4,6,7,4,4,7,NA,NA,NA,6,7,NA,6,5,5,NA,6,5,4,NA,NA,5,6,NA,NA,NA,4,7,NA,NA,NA,NA,5,NA,NA,NA,4,NA,6,NA,4,NA,7,NA,NA,NA,6,6,NA,5,5,NA,NA,NA,4,NA,4,NA,6,NA
"u250",7,NA,6,NA,NA,6,6,6,7,5,3,4,5,NA,NA,NA,NA,6,NA,6,NA,6,NA,NA,5,4,NA,NA,NA,7,6,5,NA,NA,7,4,5,NA,4,5,NA,6,6,NA,5,NA,4,NA,6,4,NA,5,6,NA,NA,NA,NA,5,4,NA,7,NA,7,5,NA,4,NA,NA,NA,3,6,6,NA,6,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,5,NA,NA,4,6,6,NA,8
"u251",NA,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,6,NA,6,6,5,NA,NA,4,NA,NA,6,4,NA,4,7,NA,NA,NA,6,7,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,6,5,NA,2,5,5,NA,NA,NA,NA,NA,NA,5,4,NA,5,NA,NA,NA,6,4,NA,NA,NA,7,4,NA,4,6,NA,4,7,NA,6,NA,NA,4,7,5,NA
"u252",4,4,5,NA,NA,NA,NA,NA,6,NA,NA,4,3,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,6,6,8,6,6,NA,NA,NA,NA,NA,4,4,NA,5,6,NA,NA,NA,NA,NA,5,NA,5,6,NA,3,NA,NA,NA,NA,5,4,5,NA,NA,NA,5,4,NA,5,NA,3,5,6,8,5,6,5,4,6,NA,4,5,5,6,5,NA,NA,7,NA,NA,NA,5,6,5,NA,6,6,NA,5,NA,NA,NA,NA,5,NA
"u253",7,4,7,NA,NA,5,6,NA,7,5,NA,4,4,6,6,5,NA,5,6,NA,NA,NA,4,NA,4,4,8,NA,NA,NA,5,NA,6,4,5,4,5,NA,NA,NA,NA,5,NA,5,NA,NA,8,NA,NA,5,6,NA,NA,6,4,6,NA,NA,3,6,NA,NA,NA,4,NA,5,5,NA,NA,3,NA,NA,5,NA,5,3,NA,NA,NA,6,NA,6,NA,4,NA,NA,NA,6,NA,NA,NA,6,6,NA,4,5,NA,NA,4,NA
"u254",NA,NA,NA,NA,7,6,NA,NA,6,NA,NA,5,NA,5,4,NA,6,NA,NA,7,NA,7,7,5,5,NA,NA,6,NA,6,NA,NA,NA,NA,6,5,NA,NA,NA,5,NA,NA,5,NA,5,NA,NA,6,5,NA,NA,5,6,NA,NA,5,6,5,5,5,NA,NA,NA,NA,NA,5,NA,NA,6,NA,7,6,NA,NA,5,NA,NA,NA,4,NA,6,5,NA,5,NA,4,6,6,6,NA,NA,5,NA,6,4,NA,3,NA,NA,7
"u255",NA,5,NA,5,6,5,6,5,NA,NA,5,3,6,NA,6,5,NA,NA,NA,NA,NA,6,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,5,5,NA,NA,4,NA,4,NA,5,7,3,NA,7,NA,5,NA,NA,NA,NA,6,5,4,5,6,NA,5,5,7,NA,NA,NA,5,5,NA,7,NA,5,NA,6,4,NA,NA,5,5,NA,NA,NA,5,6,NA,6,5,NA,NA,NA,NA,4,NA,NA,6,6,5,5,3,NA,6,7
"u256",6,NA,NA,7,4,7,5,NA,NA,NA,NA,6,6,6,3,4,5,6,NA,NA,NA,NA,NA,4,NA,NA,9,5,NA,NA,4,NA,6,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6,NA,7,NA,6,NA,NA,5,NA,NA,NA,4,6,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,7,3,5,NA,5,4,6,5,4,7,5,NA,NA,NA,NA,6,6,6,NA,5,NA,6,5,6,7,4,3,5,5,6,NA,6
"u257",NA,5,6,NA,NA,7,6,NA,NA,NA,NA,NA,6,NA,5,NA,4,NA,NA,5,7,6,3,5,5,NA,NA,4,NA,NA,NA,6,NA,5,NA,5,5,6,5,NA,NA,6,6,NA,NA,7,NA,NA,4,NA,5,NA,NA,NA,5,5,5,NA,3,4,7,4,NA,NA,5,NA,5,6,NA,5,NA,5,NA,7,6,3,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,5,NA,4,6,NA,NA,5,6,6,7,NA,8
"u258",6,NA,5,NA,7,NA,7,NA,6,7,NA,NA,NA,6,NA,NA,NA,5,NA,NA,4,NA,NA,NA,5,NA,7,7,NA,5,4,NA,6,5,NA,NA,NA,4,NA,7,4,6,8,NA,NA,NA,NA,6,6,NA,NA,NA,NA,6,NA,2,NA,NA,6,NA,NA,NA,6,NA,6,5,NA,5,NA,4,6,6,5,7,NA,NA,NA,4,NA,7,6,6,NA,NA,NA,NA,NA,4,4,5,NA,NA,NA,5,5,7,NA,7,4,7
"u259",NA,6,NA,6,5,6,5,NA,5,NA,6,4,NA,7,NA,4,5,5,7,NA,6,NA,3,6,6,NA,NA,4,6,4,NA,5,NA,4,NA,2,NA,NA,NA,NA,4,NA,7,5,5,7,6,6,6,NA,8,NA,NA,5,6,NA,NA,5,5,5,NA,5,NA,4,5,NA,NA,6,NA,3,5,NA,NA,5,NA,NA,NA,5,5,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,7,5,NA,4,NA
"u260",NA,NA,8,NA,NA,6,7,NA,7,5,4,NA,4,6,6,NA,4,NA,NA,5,NA,NA,5,NA,5,5,NA,NA,7,5,5,6,5,4,4,NA,5,NA,7,NA,5,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,4,5,4,4,NA,NA,NA,NA,NA,6,7,6,NA,7,NA,5,NA,NA,4,3,6,3,5,8,NA,6,NA,NA,NA,NA,NA
"u261",NA,5,6,NA,NA,NA,6,NA,NA,7,4,NA,NA,6,NA,NA,6,5,7,6,6,5,NA,6,5,6,NA,NA,NA,NA,NA,6,5,NA,NA,6,NA,4,NA,4,NA,4,NA,NA,NA,NA,5,6,NA,4,7,NA,8,6,3,6,7,6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,5,6,6,NA,6,NA,NA,4,NA,NA,NA,6,5,3,5,4,NA,NA,4,7,6,NA,NA,4,NA,6,5,NA,5,9
"u262",NA,5,6,5,3,NA,6,NA,5,6,6,NA,4,6,4,NA,5,NA,7,6,NA,NA,NA,4,5,NA,6,NA,4,5,NA,6,6,NA,6,NA,NA,NA,NA,5,4,NA,NA,3,NA,8,NA,7,NA,6,NA,NA,5,NA,NA,NA,NA,6,5,5,7,NA,NA,NA,NA,4,4,NA,NA,5,5,NA,4,5,NA,NA,6,5,NA,6,NA,5,NA,5,NA,5,6,4,6,4,5,NA,6,NA,NA,NA,NA,6,5,NA
"u263",NA,6,NA,6,NA,5,NA,5,6,6,5,5,NA,NA,NA,5,4,4,6,6,4,NA,NA,5,8,NA,NA,NA,NA,5,NA,4,4,NA,NA,NA,5,5,NA,5,NA,6,NA,NA,5,7,NA,NA,6,NA,NA,NA,7,NA,5,3,7,3,4,5,6,6,NA,NA,5,4,5,7,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,5,6,6,4,5,NA,4,NA,NA,NA,NA,7,NA,NA,6,NA,NA,6,NA,8
"u264",6,4,7,6,4,6,NA,5,NA,6,NA,4,NA,7,NA,5,4,5,NA,NA,6,NA,NA,NA,5,3,8,5,6,NA,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,4,NA,NA,NA,8,NA,NA,NA,NA,6,NA,NA,NA,4,4,6,NA,NA,NA,6,6,NA,NA,NA,4,5,4,8,5,7,NA,NA,6,NA,NA,NA,NA,NA,NA,6,5,6,NA,6,3,NA,6,4,4,NA,6,NA,NA,6,NA,NA,NA,NA,7
"u265",7,5,NA,NA,4,6,5,NA,NA,NA,NA,NA,NA,6,4,3,5,NA,NA,6,NA,NA,5,NA,NA,5,NA,6,NA,4,NA,6,NA,6,6,4,7,4,4,NA,NA,5,7,NA,NA,NA,6,NA,6,NA,NA,NA,6,5,5,5,NA,NA,NA,7,6,2,5,4,5,4,4,5,8,3,NA,5,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,6,6,NA,6,NA,5,8,6,5,NA,6,5,6,NA,7
"u266",6,NA,NA,5,4,5,7,NA,NA,7,6,6,4,NA,NA,NA,6,NA,7,5,5,6,4,5,NA,NA,7,5,7,5,NA,NA,NA,5,NA,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,5,8,7,5,NA,NA,6,NA,NA,NA,NA,4,5,NA,5,NA,7,5,NA,NA,NA,NA,6,4,NA,NA,NA,4,8,4,4,4,NA,6,NA,NA,6,NA,7,6,4,NA,NA,5,4,6,6,4,NA,NA,NA,7,4,NA
"u267",7,5,NA,6,4,6,5,NA,NA,NA,4,NA,NA,NA,5,NA,4,4,NA,4,5,NA,4,6,NA,NA,6,5,6,5,NA,NA,NA,NA,7,3,4,5,7,NA,5,NA,7,NA,4,7,NA,NA,NA,4,NA,7,5,NA,NA,NA,NA,5,5,NA,NA,NA,7,NA,NA,4,NA,NA,NA,NA,NA,8,5,5,6,NA,4,NA,6,6,5,NA,NA,5,NA,NA,5,NA,4,NA,4,6,NA,5,NA,NA,NA,6,NA,8
"u268",NA,4,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,5,NA,4,6,NA,6,6,NA,8,NA,6,4,7,NA,NA,5,NA,5,4,5,5,5,5,5,NA,5,6,4,4,7,NA,NA,8,NA,7,6,NA,NA,4,NA,4,NA,4,NA,NA,NA,4,NA,NA,6,NA,6,4,NA,NA,8,6,NA,6,4,NA,NA,NA,3,NA,5,NA,NA,5,NA,NA,NA,5,NA,6,4,4,5,6,NA,6,3,5,5,NA,NA,9
"u269",NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,4,4,5,6,NA,NA,6,NA,6,NA,NA,7,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,6,4,NA,NA,5,6,6,NA,NA,4,NA,NA,NA,NA,NA,5,5,NA,6,5,NA,6,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,4,NA,NA,NA,5,5,NA,NA,NA,NA,6,NA,NA,5,NA,5,4,6,6,5,NA,3,6,NA,NA
"u270",NA,NA,8,6,4,6,NA,5,6,7,4,NA,NA,5,4,NA,NA,NA,NA,NA,4,6,NA,5,NA,4,7,NA,5,6,NA,5,6,3,NA,4,NA,NA,NA,NA,3,NA,6,4,NA,7,7,7,6,NA,NA,NA,NA,6,4,4,NA,5,NA,5,7,4,5,3,NA,NA,NA,5,8,NA,7,4,NA,5,5,4,NA,NA,5,7,NA,NA,NA,5,4,5,5,NA,NA,8,NA,5,6,NA,4,NA,NA,NA,5,8
"u271",NA,6,8,NA,NA,NA,8,5,5,NA,5,6,NA,NA,5,4,5,NA,NA,NA,NA,7,NA,NA,NA,NA,8,5,NA,6,NA,4,NA,4,NA,5,6,NA,7,5,4,5,NA,NA,5,7,NA,6,6,6,7,4,NA,4,6,NA,NA,NA,NA,4,NA,NA,7,NA,NA,NA,4,8,NA,6,7,5,NA,6,6,NA,3,7,NA,NA,NA,NA,NA,3,6,4,7,6,NA,NA,NA,5,NA,NA,5,7,NA,6,4,7
"u272",7,NA,NA,7,NA,NA,NA,6,NA,7,NA,5,NA,NA,6,NA,3,NA,NA,7,NA,NA,4,NA,NA,6,NA,5,7,5,NA,4,NA,NA,6,NA,4,NA,7,4,4,6,6,5,5,NA,NA,NA,NA,5,NA,NA,4,5,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,5,6,7,4,NA,6,2,NA,4,NA,5,NA,NA,6,NA,6,6,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5,4,4,7,NA,7,NA
"u273",NA,NA,7,5,NA,NA,NA,5,NA,7,NA,3,7,NA,NA,5,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6,NA,6,NA,NA,6,5,6,NA,NA,NA,6,3,5,7,5,6,7,NA,7,NA,6,5,5,NA,5,5,NA,NA,NA,NA,7,6,NA,NA,NA,5,NA,4,6,4,3,NA,NA,NA,NA,NA,6,7,NA,7,6,NA,NA,NA,NA,NA,3,NA,4,6,NA,5,NA,NA,NA,7,6,NA
"u274",6,NA,NA,NA,6,NA,6,6,6,NA,NA,NA,NA,NA,6,NA,NA,6,6,5,NA,NA,4,NA,NA,NA,NA,NA,4,7,6,5,4,NA,5,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,3,NA,6,NA,NA,NA,NA,4,4,NA,7,NA,NA,NA,7,5,6,NA,NA,6,NA,3,NA,4,NA,NA,7,NA,7,4,NA,2,5,NA,5,NA,5,NA,NA,5,5,5,NA,7,NA,9
"u275",7,NA,7,NA,5,NA,NA,NA,NA,NA,5,3,NA,6,6,NA,4,5,NA,NA,5,5,5,NA,NA,NA,NA,5,NA,NA,5,4,NA,6,5,4,5,NA,NA,NA,3,4,7,NA,5,7,NA,NA,6,5,NA,NA,6,7,NA,NA,NA,4,NA,NA,NA,NA,7,NA,NA,4,NA,5,NA,NA,NA,NA,5,NA,5,4,NA,NA,6,6,5,NA,8,NA,5,4,5,6,6,NA,NA,5,NA,NA,NA,5,5,7,NA,NA
"u276",NA,NA,7,5,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,8,NA,7,NA,NA,4,4,NA,6,NA,NA,6,4,5,NA,NA,5,NA,NA,NA,5,4,5,NA,6,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,6,NA,4,NA,7,NA,NA,4,7,NA,NA,NA,8,NA,NA,5,NA,6,NA,3,4,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,5,5,NA,5,5,5,6,NA,7,5,8
"u277",NA,NA,7,NA,NA,6,NA,5,4,5,3,NA,NA,6,NA,NA,3,6,NA,NA,NA,NA,4,NA,6,4,NA,5,7,NA,NA,NA,6,NA,NA,NA,NA,NA,6,5,NA,6,7,4,5,NA,6,NA,4,4,NA,NA,NA,NA,6,NA,NA,4,3,4,NA,4,6,NA,5,NA,NA,NA,6,NA,6,NA,3,5,6,5,NA,NA,5,4,NA,NA,NA,5,5,NA,4,NA,6,NA,NA,6,7,NA,4,6,NA,7,NA,NA
"u278",NA,4,NA,NA,NA,NA,NA,NA,4,NA,6,6,5,5,5,4,NA,NA,4,6,6,5,4,NA,NA,NA,9,5,NA,4,6,4,5,NA,NA,NA,6,3,NA,NA,NA,5,NA,5,3,6,4,7,NA,5,NA,NA,NA,NA,5,NA,7,5,NA,5,6,NA,NA,4,NA,5,5,NA,9,NA,NA,5,NA,NA,NA,NA,5,NA,5,6,NA,4,6,NA,5,NA,5,4,NA,5,NA,NA,7,7,5,NA,5,NA,NA,NA
"u279",4,5,NA,NA,5,6,7,NA,NA,7,6,4,6,NA,NA,5,NA,5,NA,6,5,5,NA,7,5,6,NA,NA,6,NA,NA,5,6,5,6,NA,NA,NA,7,5,NA,4,NA,4,6,7,7,NA,5,6,7,NA,6,6,NA,4,NA,NA,NA,5,7,NA,5,4,NA,6,NA,NA,NA,NA,5,5,NA,6,4,4,5,NA,NA,5,NA,5,6,NA,NA,NA,NA,NA,4,NA,4,NA,NA,5,4,NA,4,6,NA,7
"u280",7,NA,NA,6,5,NA,5,5,NA,7,NA,4,5,NA,NA,4,5,NA,7,5,5,7,4,NA,NA,NA,NA,6,5,NA,NA,5,6,4,6,5,NA,4,3,6,3,7,NA,2,NA,NA,6,7,NA,NA,5,5,5,5,5,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,5,6,8,NA,NA,7,NA,NA,4,NA,NA,5,NA,NA,5,5,6,NA,6,6,NA,NA,NA,6,NA,NA,NA,5,NA,6,NA,5,NA,8
